customer_id,state,city,created_ts,_source_file,_ingest_date,_load_ts,phone
C00028,RS,Porto Alegre,2024-01-21,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00029,BA,Rio De Janeiro,2023-07-11,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00030,BA,Rio De Janeiro,2023-10-04,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00031,MG,Porto Alegre,2023-06-10,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00032,SP,Florianópolis,2024-04-04,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00033,SP,NULL,2023-11-10,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00034,SP,Florianópolis,2023-01-22,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00035,PR,Curitiba,2023-09-10,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00036,RJ,São Paulo,2025-01-17,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00037,BA,Belo Horizonte,2025-05-06,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00038,NULL,Rio De Janeiro,2024-07-14,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00039,RJ,Rio De Janeiro,2024-04-19,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00040,MG,Sao Paulo,2023-02-28,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00041,RS,Belo Horizonte,2024-05-25,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00042,RJ,NULL,2024-11-12,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00043,SP,Florianópolis,2024-04-20,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00044,RJ,NULL,2024-11-30,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00045,SP,Salvador,2025-02-21,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00046,NULL,Curitiba,2023-07-09,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00047,RS,Salvador,2024-11-17,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00048,PR,São Paulo,2024-07-16,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00049,NULL,Porto Alegre,2025-05-25,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00050,RS,Rio De Janeiro,2024-07-20,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00051,SP,São Paulo,2023-09-01,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00052,NULL,Florianópolis,2025-04-11,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00053,BA,São Paulo,2024-05-19,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00054,RS,Sao Paulo,2023-05-11,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00056,RJ,NULL,2025-03-29,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00057,SP,Belo Horizonte,2024-10-08,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00058,RJ,São Paulo,2023-01-21,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00059,MG,Sao Paulo,2025-04-20,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00061,NULL,Sao Paulo,2023-10-01,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00062,SP,Sao Paulo,2024-01-23,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00063,BA,NULL,2024-08-23,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00064,MG,Rio De Janeiro,2023-11-12,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00065,SP,Belo Horizonte,2023-01-14,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00066,SP,NULL,2023-08-30,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00067,RJ,Rio De Janeiro,2025-02-15,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00068,SP,São Paulo,2023-12-12,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00069,RJ,Curitiba,2024-07-18,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00070,BA,Sao Paulo,2025-06-16,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00071,SC,Porto Alegre,2023-12-06,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00072,MG,Curitiba,2023-04-02,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00073,SP,São Paulo,2024-01-02,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00074,SP,Curitiba,2024-03-30,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00075,RJ,Sao Paulo,2024-03-03,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00076,BA,São Paulo,2024-05-23,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00077,RJ,Salvador,2025-02-14,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00079,SP,Porto Alegre,2023-07-25,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00080,PR,Porto Alegre,2023-03-22,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00081,BA,Porto Alegre,2024-07-15,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00082,SP,Belo Horizonte,2025-05-21,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00083,RJ,Rio De Janeiro,2024-01-23,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00084,NULL,NULL,2023-01-02,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00085,RJ,NULL,2024-01-25,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00086,SP,NULL,2024-07-19,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00087,BA,NULL,2023-04-16,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00088,RJ,Salvador,2025-02-10,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00089,RJ,Salvador,2025-04-01,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00090,SC,NULL,2024-04-21,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00091,RS,Florianópolis,2024-12-03,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00092,RJ,Porto Alegre,2024-02-06,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00093,SC,NULL,2024-12-30,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00094,MG,NULL,2024-07-09,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00095,PR,Rio De Janeiro,2023-06-11,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00097,BA,São Paulo,2023-09-27,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00098,SP,Curitiba,2025-05-12,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00099,NULL,São Paulo,2025-03-26,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00100,RJ,Salvador,2023-09-28,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00101,SP,Curitiba,2024-03-31,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00102,SP,Rio De Janeiro,2024-04-06,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00103,PR,Curitiba,2024-12-27,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00104,SC,São Paulo,2023-09-09,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00105,SP,São Paulo,2024-12-02,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00106,BA,NULL,2023-10-23,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00107,RJ,Belo Horizonte,2024-12-25,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00108,PR,São Paulo,2024-12-20,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00109,SP,Curitiba,2025-01-18,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00110,SC,NULL,2023-12-04,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00111,MG,São Paulo,2025-05-28,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00112,NULL,Florianópolis,2023-02-22,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00113,SP,São Paulo,2025-03-02,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00114,RJ,São Paulo,2023-08-05,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00115,SP,Curitiba,2025-02-02,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00116,NULL,Curitiba,2023-07-07,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00117,NULL,Florianópolis,2024-01-15,customers.csv,2025-12-02,2026-03-29T19:36:03,1199999-9999
C00119,PR,Sao Paulo,2023-02-10,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00120,NULL,Salvador,2023-06-06,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00096,PR,Belo Horizonte,2023-07-21,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
C00055,NULL,Sao Paulo,2024-04-29,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00060,NULL,Belo Horizonte,2023-06-16,customers.csv,2025-12-02,2026-03-29T19:36:03,+55 11 992763666
C00118,RJ,Porto Alegre,2024-05-07,customers.csv,2025-12-02,2026-03-29T19:36:03,invalid_phone
C00078,RJ,NULL,2023-02-04,customers.csv,2025-12-02,2026-03-29T19:36:03,NULL
